session_test_id,nickname,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
default_example,cdsvgf,,trial1,C6,100,1961,
default_example,cdsvgf,,trial1,C1,100,1961,
default_example,cdsvgf,,trial1,C2,100,1961,
default_example,cdsvgf,,trial1,C7,100,1961,
default_example,cdsvgf,,trial1,reference,100,1961,
default_example,cdsvgf,,trial1,C5,100,1961,
default_example,cdsvgf,,trial1,C4,100,1961,
default_example,cdsvgf,,trial1,C3,100,1961,
default_example,cdsvgf,,trial1,C4,100,1660,
default_example,cdsvgf,,trial1,C7,100,1660,
default_example,cdsvgf,,trial1,C5,100,1660,
default_example,cdsvgf,,trial1,C6,100,1660,
default_example,cdsvgf,,trial1,C3,100,1660,
default_example,cdsvgf,,trial1,reference,100,1660,
default_example,cdsvgf,,trial1,C1,100,1660,
default_example,cdsvgf,,trial1,C2,100,1660,
default_example,Tomlaptop,,mono,C5,63,40884,
default_example,Tomlaptop,,mono,C1,75,40884,
default_example,Tomlaptop,,mono,reference,100,40884,
default_example,Tomlaptop,,mono,C3,31,40884,
default_example,Tomlaptop,,mono,C2,83,40884,
default_example,Tomlaptop,,mono,C4,54,40884,
default_example,Tomlaptop,,mono,C6,22,40884,
default_example,Tomlaptop,,mono,C7,0,40884,
default_example,Tomlaptop,,stereo,C2,100,26691,
default_example,Tomlaptop,,stereo,C5,64,26691,
default_example,Tomlaptop,,stereo,C1,69,26691,
default_example,Tomlaptop,,stereo,C6,45,26691,
default_example,Tomlaptop,,stereo,C7,0,26691,
default_example,Tomlaptop,,stereo,C4,62,26691,
default_example,Tomlaptop,,stereo,reference,100,26691,
default_example,Tomlaptop,,stereo,C3,71,26691,
default_example,testing1,,mono,reference,100,7749,
default_example,testing1,,mono,C2,100,7749,
default_example,testing1,,mono,C5,100,7749,
default_example,testing1,,mono,C6,100,7749,
default_example,testing1,,mono,C7,100,7749,
default_example,testing1,,mono,C1,100,7749,
default_example,testing1,,mono,C3,100,7749,
default_example,testing1,,mono,C4,100,7749,
default_example,testing1,,stereo,C6,100,2694,
default_example,testing1,,stereo,reference,100,2694,
default_example,testing1,,stereo,C3,100,2694,
default_example,testing1,,stereo,C5,100,2694,
default_example,testing1,,stereo,C2,100,2694,
default_example,testing1,,stereo,C1,100,2694,
default_example,testing1,,stereo,C4,100,2694,
default_example,testing1,,stereo,C7,100,2694,
